,Unnamed: 0,Object_area,Process_name,Hum_days,Process_volume,Final_price,Стоимость ч/ч с налогами
0,0,250,ОВ2 (воздуховоды),68,137,"438 923,30","648,24"
1,1,1000,ОВ2 (воздуховоды),266,536,"1 724 059,10","648,24"
2,2,1500,ОВ2 (воздуховоды),395,686,"2 562 363,07","648,24"
3,3,1700,ОВ2 (воздуховоды),448,831,"2 904 011,48","648,24"
4,4,1674,ОВ2 (воздуховоды),384,870,"2 488 908,66","648,24"
5,5,1420,ОВ2 (воздуховоды),308,687,"1 998 959,54","648,24"
6,6,16000,ОВ2 (воздуховоды),4255,9152,"27 584 945,66","648,24"
7,7,23000,ОВ2 (воздуховоды),4995,11601,"32 377 513,63","648,24"
8,8,19000,ОВ2 (воздуховоды),4080,10769,"26 446 117,63","648,24"
9,9,5400,ОВ2 (воздуховоды),1225,2836,"7 943 325,52","648,24"
10,10,15623,ОВ2 (воздуховоды),3660,7880,"23 722 547,13","648,24"
11,11,19248,ОВ2 (воздуховоды),4274,11010,"27 704 649,14","648,24"
12,12,7543,ОВ2 (воздуховоды),1840,4040,"11 930 805,34","648,24"
13,13,23094,ОВ2 (воздуховоды),5128,13330,"33 240 397,31","648,24"
14,14,36432,ОВ2 (воздуховоды),8801,19892,"57 048 451,44","648,24"
15,15,9702,ОВ2 (воздуховоды),2344,4843,"15 192 250,65","648,24"
16,16,29301,ОВ2 (воздуховоды),6720,16455,"43 564 822,44","648,24"
17,17,31857,ОВ2 (воздуховоды),8006,17394,"51 900 047,16","648,24"
18,18,20141,ОВ2 (воздуховоды),5455,10997,"35 361 417,06","648,24"
19,19,27053,ОВ2 (воздуховоды),6931,14208,"44 929 375,68","648,24"
20,20,15984,ОВ2 (воздуховоды),4095,8312,"26 546 081,43","648,24"
21,21,33204,ОВ2 (воздуховоды),8426,17093,"54 619 710,85","648,24"
22,22,36898,ОВ2 (воздуховоды),9813,17460,"63 614 332,82","648,24"
23,23,15476,ОВ2 (воздуховоды),3436,8611,"22 275 413,04","648,24"
24,24,22139,ОВ2 (воздуховоды),5780,10937,"37 468 596,90","648,24"
25,25,33421,ОВ2 (воздуховоды),9052,19464,"58 677 022,97","648,24"
26,26,30683,ОВ2 (воздуховоды),6588,15157,"42 707 696,17","648,24"
27,27,18795,ОВ2 (воздуховоды),4219,10164,"27 349 904,21","648,24"
28,28,27158,ОВ2 (воздуховоды),6030,12569,"39 089 924,22","648,24"
29,29,21268,ОВ2 (воздуховоды),5708,10949,"37 003 686,17","648,24"
30,30,29517,ОВ2 (воздуховоды),7778,16270,"50 422 180,53","648,24"
31,31,11527,ОВ2 (воздуховоды),2644,6593,"17 138 381,22","648,24"
32,32,33968,ОВ2 (воздуховоды),8371,15544,"54 264 649,58","648,24"
33,33,34579,ОВ2 (воздуховоды),8522,19599,"55 240 735,92","648,24"
34,34,18154,ОВ2 (воздуховоды),4385,10573,"28 427 140,63","648,24"
35,35,24817,ОВ2 (воздуховоды),6479,13034,"42 000 911,03","648,24"
36,36,13047,ОВ2 (воздуховоды),2865,6445,"18 572 861,67","648,24"
37,37,20592,ОВ2 (воздуховоды),5175,11350,"33 547 596,17","648,24"
38,38,31675,ОВ2 (воздуховоды),7806,15812,"50 601 530,13","648,24"
39,39,21824,ОВ2 (воздуховоды),5858,12597,"37 971 057,32","648,24"
40,40,17495,ОВ2 (воздуховоды),4525,10189,"29 332 255,84","648,24"
41,41,28732,ОВ2 (воздуховоды),6380,13297,"41 355 464,42","648,24"
42,42,14701,ОВ2 (воздуховоды),3192,8562,"20 694 862,08","648,24"
43,43,26914,ОВ2 (воздуховоды),6173,12736,"40 015 823,05","648,24"
44,44,24975,ОВ2 (воздуховоды),5606,11429,"36 342 849,57","648,24"
45,45,28026,ОВ2 (воздуховоды),6155,14865,"39 895 993,03","648,24"
46,46,11938,ОВ2 (воздуховоды),2622,6022,"16 994 161,31","648,24"
47,47,14389,ОВ2 (воздуховоды),3686,7407,"23 897 119,97","648,24"
48,48,21965,ОВ2 (воздуховоды),5574,11422,"36 131 850,04","648,24"
49,49,10781,ОВ2 (воздуховоды),2368,5830,"15 347 131,27","648,24"
50,50,32062,ОВ2 (воздуховоды),7119,15839,"46 148 506,90","648,24"
51,51,35014,ОВ2 (воздуховоды),7689,19482,"49 843 655,89","648,24"
52,52,23158,ОВ2 (воздуховоды),5877,11320,"38 094 303,82","648,24"
53,53,19436,ОВ2 (воздуховоды),4316,9298,"27 975 247,34","648,24"
54,54,28604,ОВ2 (воздуховоды),7189,16510,"46 600 400,19","648,24"
55,55,26081,ОВ2 (воздуховоды),5855,12884,"37 952 266,65","648,24"
56,56,13906,ОВ2 (воздуховоды),3122,7810,"20 235 582,23","648,24"
57,57,32877,ОВ2 (воздуховоды),8022,16754,"52 001 735,01","648,24"
58,58,25659,ОВ2 (воздуховоды),5572,13876,"36 120 635,75","648,24"
59,59,30271,ОВ2 (воздуховоды),7165,15269,"46 443 415,91","648,24"
60,60,24236,ОВ2 (воздуховоды),6328,12729,"41 017 612,11","648,24"
61,61,21729,ОВ2 (воздуховоды),5355,12655,"34 712 569,79","648,24"
62,62,36198,ОВ2 (воздуховоды),7861,16941,"50 956 575,58","648,24"
63,63,16031,ОВ2 (воздуховоды),3794,8003,"24 595 632,80","648,24"
64,64,19697,ОВ2 (воздуховоды),4950,9935,"32 089 500,86","648,24"
65,65,32951,ОВ2 (воздуховоды),8603,17649,"55 767 095,91","648,24"
66,66,16384,ОВ2 (воздуховоды),4437,9031,"28 765 277,65","648,24"
67,67,31241,ОВ2 (воздуховоды),8080,16408,"52 378 908,53","648,24"
68,68,22091,ОВ2 (воздуховоды),5444,12062,"35 290 872,99","648,24"
69,69,29287,ОВ2 (воздуховоды),7003,17057,"45 396 943,67","648,24"
70,70,18362,ОВ2 (воздуховоды),4525,9262,"29 333 711,01","648,24"
71,71,32540,ОВ2 (воздуховоды),7860,17767,"50 954 013,22","648,24"
72,72,22617,ОВ2 (воздуховоды),5077,12819,"32 911 560,71","648,24"
73,73,17772,ОВ2 (воздуховоды),4683,9519,"30 358 877,68","648,24"
74,74,13450,ОВ2 (воздуховоды),3413,6854,"22 124 897,93","648,24"
75,75,30451,ОВ2 (воздуховоды),7133,16310,"46 237 936,54","648,24"
76,76,19952,ОВ2 (воздуховоды),5063,11101,"32 820 517,74","648,24"
77,77,15876,ОВ2 (воздуховоды),4145,8503,"26 868 939,17","648,24"
78,78,35792,ОВ2 (воздуховоды),8646,18053,"56 046 282,77","648,24"
79,79,27664,ОВ2 (воздуховоды),7358,15824,"47 694 371,05","648,24"
80,80,25901,ОВ2 (воздуховоды),6446,12526,"41 787 111,88","648,24"
81,81,36500,ОВ2 (воздуховоды),9886,18031,"64 082 802,38","648,24"
82,82,20247,ОВ2 (воздуховоды),5286,10634,"34 266 528,81","648,24"
83,83,32279,ОВ2 (воздуховоды),8664,14939,"56 161 462,57","648,24"
84,84,31413,ОВ2 (воздуховоды),8355,17805,"54 157 868,63","648,24"
85,85,34135,ОВ2 (воздуховоды),7829,18283,"50 752 029,42","648,24"
86,86,29741,ОВ2 (воздуховоды),6531,14537,"42 337 355,62","648,24"
87,87,16628,ОВ2 (воздуховоды),4341,9079,"28 141 642,77","648,24"
88,88,36561,ОВ2 (воздуховоды),8921,18822,"57 828 738,44","648,24"
89,89,20837,ОВ2 (воздуховоды),4474,10619,"29 003 039,64","648,24"
90,90,11478,ОВ2 (воздуховоды),3053,5670,"19 788 750,40","648,24"
91,91,25412,ОВ2 (воздуховоды),6077,13611,"39 390 416,65","648,24"
92,92,17846,ОВ2 (воздуховоды),4006,9094,"25 968 948,69","648,24"
93,93,11263,ОВ2 (воздуховоды),2748,6267,"17 814 750,17","648,24"
94,94,11154,ОВ2 (воздуховоды),2558,5394,"16 583 803,61","648,24"
95,95,36949,ОВ2 (воздуховоды),8655,20943,"56 104 742,61","648,24"
96,96,14639,ОВ2 (воздуховоды),3143,8450,"20 376 037,68","648,24"
97,97,16259,ОВ2 (воздуховоды),4007,8370,"25 974 120,86","648,24"
98,98,35208,ОВ2 (воздуховоды),7818,16111,"50 676 708,60","648,24"
99,99,18903,ОВ2 (воздуховоды),5027,10223,"32 589 889,24","648,24"
100,100,13783,ОВ2 (воздуховоды),3195,7024,"20 710 615,87","648,24"
101,101,24107,ОВ2 (воздуховоды),6000,13664,"38 892 780,44","648,24"
102,102,30612,ОВ2 (воздуховоды),8216,14804,"53 261 089,01","648,24"
103,103,22375,ОВ2 (воздуховоды),4804,10821,"31 143 783,26","648,24"
104,104,16873,ОВ2 (воздуховоды),4446,8160,"28 823 168,08","648,24"
105,105,23342,ОВ2 (воздуховоды),5695,12502,"36 920 172,12","648,24"
106,106,27521,ОВ2 (воздуховоды),7185,14168,"46 577 228,20","648,24"
107,107,19818,ОВ2 (воздуховоды),5029,9893,"32 600 091,24","648,24"
108,108,10234,ОВ2 (воздуховоды),2247,5801,"14 568 457,60","648,24"
109,109,26703,ОВ2 (воздуховоды),6385,12358,"41 391 558,94","648,24"
110,110,35879,ОВ2 (воздуховоды),8404,16418,"54 480 014,61","648,24"
111,111,13567,ОВ2 (воздуховоды),3112,7337,"20 171 459,88","648,24"
112,112,28859,ОВ2 (воздуховоды),6619,13656,"42 907 655,40","648,24"
113,113,26597,ОВ2 (воздуховоды),6944,12447,"45 013 427,51","648,24"
114,114,30922,ОВ2 (воздуховоды),7545,14471,"48 909 500,56","648,24"
115,115,12425,ОВ2 (воздуховоды),2698,5880,"17 490 895,95","648,24"
116,116,17010,ОВ2 (воздуховоды),4648,9553,"30 133 389,73","648,24"
117,117,24649,ОВ2 (воздуховоды),5834,11792,"37 817 837,49","648,24"
118,118,20381,ОВ2 (воздуховоды),4426,10704,"28 690 700,23","648,24"
119,119,22461,ОВ2 (воздуховоды),5042,11096,"32 684 554,32","648,24"
